# raw CPAP telemetry
# telem on
T,1078137,8.07,-0.54,19153
R] state 16 -> 4 (ref=19146 act=0 vbus=0)
[1057.249] I [BLR] stT,1078157,8.06,-0.91,19150
ate 4 -> 19 (ref=19146 act=12720 vbus=0)
[1057.269] I [BLR] staT,1078177,8.12,-0.73,19146
te 19 -> 6 (ref=21954 act=13308 vbus=0)
T,1078197,8.13,-0.66,19143
T,1078217,8.05,-0.89,19152
T,1078237,8.11,-0.83,19149
T,1078257,8.04,-0.85,19154
T,1078277,8.18,-0.83,19131
T,1078297,8.08,-0.97,19150
T,1078317,8.07,-0.84,19149
T,1078337,8.11,-1.14,19142
T,1078357,8.10,-1.31,19144
T,1078377,8.04,-1.32,19150
T,1078397,8.06,-0.43,19157
T,1078417,8.04,-0.33,19154
T,1078437,8.11,-0.19,19148
T,1078457,8.14,-0.15,19145
T,1078477,8.09,-0.80,19149
T,1078497,8.12,-0.48,19147
T,1078517,8.17,-0.79,19137
T,1078537,8.03,-0.64,19154
T,1078557,8.11,-0.82,19145
T,1078577,8.11,-0.92,19147
T,1078597,8.03,-0.43,19160
T,1078617,8.06,-0.26,19155
T,1078637,8.11,-0.17,19149
T,1078657,8.15,-0.51,19140
T,1078677,8.09,-0.54,19149
T,1078697,8.14,-1.03,19142
T,1078717,8.03,-0.52,19154
T,1078737,8.17,-0.64,19143
T,1078757,8.13,-0.72,19143
T,1078777,8.12,-1.28,19142
T,1078797,8.19,-1.44,19139
T,1078817,8.15,-1.34,19144
T,1078837,8.05,-1.63,19147
T,1078857,8.11,-1.44,19146
T,1078877,8.09,-1.10,19150
T,1078897,8.09,-0.89,19150
T,1078917,8.07,-0.84,19149
T,1078937,8.17,-0.55,19144
T,1078957,8.07,-0.42,19149
T,1078977,8.03,-0.41,19154
T,1078997,8.13,-0.46,19145
T,1079017,8.18,-0.43,19145
T,1079037,8.08,-0.01,19153
T,1079057,8.10,-0.66,19146
T,1079077,8.17,-0.33,19145
T,1079097,8.07,-0.44,19152
T,1079117,8.07,-0.05,19156
T,1079137,8.17,-0.58,19142
T,1079157,8.01,-0.65,19160
T,1079177,8.14,-0.43,19146
T,1079197,8.20,-0.40,19145
T,1079217,8.15,-0.38,19147
T,1079237,8.18,-0.51,19148
T,1079257,8.06,-0.12,19154
T,1079277,8.18,-0.63,19141
T,1079297,8.07,-0.70,19155
T,1079317,8.08,-0.91,19150
T,1079337,8.11,-0.72,19156
T,1079357,8.16,-0.71,19146
T,1079377,8.04,-1.10,19152
T,1079397,8.05,-0.53,19159
T,1079417,8.05,-0.64,19157
T,1079437,8.13,-0.47,19153
T,1079457,8.11,-0.54,19153
T,1079477,8.10,-0.37,19156
T,1079497,8.09,-0.38,19153
T,1079517,8.01,-0.32,19164
T,1079537,8.14,0.01,19154
T,1079557,8.09,-0.31,19155
T,1079577,8.09,-0.28,19160
T,1079597,8.02,-0.55,19166
T,1079617,8.10,-0.69,19158
T,1079637,8.22,-0.61,19149
T,1079657,8.06,-0.57,19165
T,1079677,8.18,-0.28,19151
T,1079697,8.13,-0.15,19159
T,1079717,8.16,0.37,19158
T,1079737,8.12,0.03,19155
T,1079757,7.97,0.01,19172
T,1079777,8.10,-0.01,19162
T,1079797,8.17,0.27,19153
T,1079817,8.13,-0.40,19153
T,1079837,8.12,-0.81,19150
T,1079857,8.13,-1.16,19154
