# raw CPAP telemetry
T,482997,6.95,1.09,0
# telem on
T,483017,6.96,0.05,0
T,483037,6.87,-0.74,0
T,483057,6.92,-0.52,0
T,483077,6.89,-0.90,0
T,483097,6.87,-1.32,0
T,483117,6.89,-1.59,0
T,483137,6.94,-1.23,0
T,483157,6.88,-0.90,0
T,483177,6.92,-0.12,0
T,483197,6.89,0.37,0
T,483217,6.92,0.46,0
T,483237,6.88,1.97,0
T,483257,6.86,2.14,0
T,483277,6.89,1.48,0
T,483297,6.89,0.67,0
T,483317,6.93,1.04,0
T,483337,6.87,0.62,0
T,483357,6.91,0.17,0
T,483377,6.92,0.76,0
T,483397,6.90,0.84,0
T,483417,6.93,0.72,0
T,483437,6.90,0.53,0
T,483457,6.91,-0.11,0
T,483477,6.92,0.18,0
T,483497,6.91,-0.22,0
T,483517,6.98,-0.00,0
T,483537,6.88,-0.36,0
T,483557,6.93,-0.44,0
T,483577,6.88,-0.74,0
T,483597,6.90,-1.26,0
T,483617,6.91,-1.88,0
T,483637,6.90,-2.06,0
T,483657,6.86,-1.83,0
T,483677,6.89,-1.34,0
T,483697,6.89,-0.73,0
T,483717,6.89,-0.79,0
T,483737,6.88,-1.01,0
T,483757,6.90,-0.73,0
T,483777,6.96,-0.63,0
T,483797,6.89,-0.50,0
T,483817,6.90,-0.55,0
T,483837,6.94,0.55,0
T,483857,6.92,0.65,0
T,483877,6.88,1.33,0
T,483897,6.87,1.08,0
T,483917,6.90,1.95,0
T,483937,6.85,1.16,0
T,483957,6.88,0.74,0
T,483977,6.87,0.62,0
T,483997,6.84,1.03,0
T,484017,6.92,0.80,0
T,484037,6.86,0.01,0
T,484057,6.89,-0.27,0
T,484077,6.93,-0.93,0
T,484097,6.84,-1.33,0
T,484117,6.86,-1.37,0
T,484137,6.84,-0.90,0
T,484157,6.91,0.76,0
T,484177,6.93,1.04,0
T,484197,6.96,0.57,0
T,484217,6.92,0.39,0
T,484237,6.93,1.17,0
T,484257,6.92,0.81,0
T,484277,6.90,0.45,0
T,484297,6.93,-0.04,0
T,484317,6.95,-0.35,0
T,484337,6.97,-0.78,0
T,484357,6.92,-0.67,0
T,484377,6.92,-0.27,0
T,484397,6.88,-0.25,0
T,484417,6.90,0.17,0
T,484437,6.87,0.86,0
T,484457,6.92,1.48,0
T,484477,6.85,1.05,0
T,484497,6.93,0.93,0
T,484517,6.94,1.22,0
T,484537,6.91,1.62,0
T,484557,6.97,1.58,0
T,484577,7.00,1.62,0
T,484597,6.97,2.52,0
T,484617,6.85,2.47,0
T,484637,6.94,2.45,0
T,484657,6.88,2.49,0
T,484677,6.92,2.13,0
T,484697,6.93,1.86,0
T,484717,6.90,1.48,0
T,484737,6.91,1.39,0
T,484757,6.89,0.95,0
T,484777,6.85,2.30,0
T,484797,6.97,2.18,0
T,484817,6.90,2.75,0
T,484837,6.97,3.50,0
T,484857,6.87,3.79,0
T,484877,6.94,4.13,0
T,484897,6.93,3.15,0
T,484917,6.86,3.48,0
T,484937,6.88,2.75,0
T,484957,6.89,3.34,0
T,484977,6.92,2.35,0
T,484997,6.90,1.67,0
T,485017,6.83,0.71,0
T,485037,6.96,0.85,0
T,485057,6.88,1.15,0
T,485077,6.97,1.39,0
T,485097,6.90,1.30,0
T,485117,6.93,0.68,0
T,485137,6.84,0.57,0
T,485157,6.94,0.33,0
T,485177,6.88,1.86,0
T,485197,6.98,1.96,0
T,485217,6.86,2.36,0
T,485237,6.87,1.82,0
T,485257,6.85,2.32,0
T,485277,6.95,2.41,0
T,485297,6.93,2.23,0
T,485317,6.92,1.49,0
T,485337,6.89,2.27,0
T,485357,6.93,1.22,0
T,485377,6.95,0.94,0
T,485397,6.88,0.62,0
T,485417,6.85,0.12,0
T,485437,6.89,-0.60,0
T,485457,6.94,-0.89,0
T,485477,6.92,0.00,0
T,485497,6.89,0.25,0
T,485517,6.85,-0.34,0
T,485537,6.87,0.74,0
T,485557,6.91,0.35,0
T,485577,6.87,0.06,0
T,485597,6.89,0.13,0
T,485617,6.89,0.25,0
T,485637,6.94,0.00,0
T,485657,6.84,-0.12,0
T,485677,6.91,0.15,0
T,485697,6.84,-0.37,0
T,485717,6.86,0.03,0
T,485737,6.89,0.10,0
T,485757,6.86,0.41,0
T,485777,6.91,0.58,0
T,485797,6.88,0.32,0
T,485817,6.90,0.07,0
T,485837,7.03,-0.17,0
T,485857,6.99,-0.45,0
T,485877,6.95,-1.05,0
T,485897,6.90,-0.94,0
T,485917,6.91,-1.11,0
T,485937,6.97,-1.28,0
T,485957,6.97,-1.66,0
T,485977,6.96,-1.50,0
T,485997,6.93,-1.25,0
T,486017,6.96,-0.98,0
T,486037,6.90,-1.32,0
T,486057,6.96,-1.51,0
T,486077,6.96,-0.85,0
T,486097,6.89,-0.11,0
T,486117,6.93,0.20,0
T,486137,7.02,-0.08,0
T,486157,6.94,0.05,0
T,486177,6.90,-0.22,0
T,486197,6.87,-0.61,0
T,486217,6.87,-1.14,0
T,486237,6.88,-0.96,0
T,486257,6.95,-0.93,0
T,486277,6.90,-0.68,0
T,486297,6.93,-0.29,0
T,486317,6.91,-0.29,0
T,486337,6.87,-0.33,0
T,486357,6.93,-0.28,0
T,486377,6.82,0.39,0
T,486397,6.89,0.12,0
T,486417,6.91,-0.32,0
T,486437,6.88,-0.32,0
T,486457,6.94,0.14,0
T,486477,6.94,0.81,0
T,486497,6.98,0.63,0
T,486517,6.86,0.56,0
T,486537,6.90,0.55,0
T,486557,6.90,0.39,0
T,486577,6.89,0.40,0
T,486597,6.93,0.91,0
T,486617,6.89,3.96,0
T,486637,6.91,3.37,0
T,486657,6.90,3.87,0
T,486677,6.84,2.87,0
T,486697,6.92,2.50,0
T,486717,6.92,1.76,0
T,486737,6.94,1.26,0
T,486757,6.90,1.71,0
T,486777,6.91,0.98,0
T,486797,6.94,1.89,0
T,486817,6.93,1.33,0
T,486837,6.92,0.73,0
T,486857,6.89,0.28,0
T,486877,6.94,-0.11,0
T,486897,6.90,-0.13,0
T,486917,6.89,0.29,0
T,486937,6.94,0.33,0
